"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","ALNINC_WM_7","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","AMECAN_WM_9","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","BETPAP_WM_3","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","AMECAN_WM_1","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","AMECAN_SH_9","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","BETPAP_HF_1","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","AMECAN_SH_7","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","BETPAP_WM_8","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","AMECAN_GR_7","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","QUERUB_WM_7","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","BETPAP_SH_8","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
"buff","buff","buff","buff","buff","buff","buff","buff","buff","buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0"
